Alexandria     	5703824
Aswan          	1698201
Asyut          	5071485
Beheira        	6940234
Beni Suef      	3618395
Cairo          	10456284
Dakahlia       	7058212
Damietta       	2023380
Faiyum         	4141222
Gharbia        	5483000
Giza           	9534283
Ismailia       	1482999
Kafr El Sheikh 	3731540
Luxor          	1429385
Matrouh        	580304
Minya          	6332918
Monufia        	4743341
New Valley     	324600
North Sinai    	544494
Port Said      	835193
Qalyubia       	6137896
Qena           	3651215
Red Sea        	409394
Sharqia        	8032683
Sohag          	5714903
South Sinai    	145934
Suez           	843385
